D-A=T,Ürün Kodu,PLM,Renk,DSM Termin,Unnamed: 5,Atölye Termin,Unnamed: 7,Atölye,Kesim Adedi,Fit Onayı,Çizildi,Kesim,Fason Durum,Kumaşçı ,Termin,Dantel ,Sipariş ,Termin ,Etiket,Düğme, Termin,Aksesuar ,Sipariş .1,Termin.1,Sevk Adedi,Fire Adedi,Açıklama
0,THMAW21PT0292,1157706,Siyah,2026-04-11,2,,0,,,Onaylandı,Çizildi,Tedarik Sürecinde,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,Kumaş sıkıntılı olduğu için iade edildi yeni kumaş KARAKOÇ 'tan 09.04.2026 tarihinde gelecek
0,TBBAW23AI00040,1146666,Gri,2026-04-11,2,,0,,,Onaylandı,Çizilmedi,Tedarik Sürecinde,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,Renk çalışması yapılıyor
0,THMAW24CY00000,1149033,Lacivert,2026-04-11,2,,0,,,Onaylandı,Çizildi,Kesim Sırasında,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
0,THMSS25PT00105,1161321,Sarı,2026-04-11,2,,0,Orhan,515,Onaylandı,Çizildi,Kesildi,Dikim'de,-,,-,-,,Hazırlandı,-,,-,-,,0,515,
0,THMAW24PT00074,1161619,Bej,2026-04-11,2,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
0,THMSS22PT0264,1161622,Pembe,2026-04-11,2,,0,,,Onaylandı,Çizildi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
0,THMSS26PT00006,1161641,Bordo-Çok Renkli,2026-04-11,2,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
0,THMSS25PT00054,1161994,Ekru,2026-04-11,2,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
0,TBBSS25AI00002,1162890,Siyah,2026-04-11,2,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
0,THMAW26PT00088,1157924,Ekru,2026-04-11,2,,0,,,Onaylandı,Çizildi,Tedarik Sürecinde,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,07.04.2026 Tarihinde termin alındı  Elimizdeki kumaş iade edildi.
0,THMSS24CC00030,1160474,Siyah,2026-04-11,2,,0,Saadet,347,Onaylandı,Çizildi,Kesildi,Dikim'de,-,,-,-,,Hazırlandı,-,,-,-,,0,347,
0,THMSS24GC00003,1163607,Bordo,2026-04-11,2,,0,,,Onaylandı,Çizildi,Kesim Sırasında,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,Her şey hazır kesilecek
0,THMSS25PT00287,1174117,Siyah,2026-04-11,,2026-04-11,,,0,,,,Hazırlanıyor,,,,,,,,,,,,,,
0,THMSS24PT00089,1174109,Lacivert,2026-04-11,,2026-04-11,,,0,,,,Hazırlanıyor,,,,,,,,,,,,,,
0,THMSS26GC00003,1174230,Siyah,2026-04-11,,2026-04-11,,,0,,,,Hazırlanıyor,,,,,,,,,,,,,,
0,THMAW21PT0843,1173688,Siyah,2026-04-11,,2026-04-11,,,0,,,,Hazırlanıyor,,,,,,,,,,,,,,
0,THMSS26PT00132,1174114,Pembe,2026-04-11,,2026-04-11,,,0,,,,Hazırlanıyor,,,,,,,,,,,,,,
2,THMAW26GC00001,1164284,Siyah,2026-04-13,2,,0,,,Onaylandı,Çizildi,,,-,,Fatih Atlas ,2026-04-02 00:00:00,,Hazırlanıyor,-,,-,-,,0,0,
2,THMSS20PT0158,1164696,Pembe,2026-04-13,2,,0,,401,Onaylandı,Çizildi,Kesildi,Dikim Sırasında,-,,-,-,,Hazırlanıyor,-,,-,-,,0,401,
2,THMAW23SB00011,1164699,Bordo,2026-04-13,2,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
2,TBBSS25AI00002,1146653,Mürdüm,2026-04-13,2,,0,,,Onaylandı,Çizilmedi,Tedarik Sürecinde,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
3,THMSS24CC00025,1164279,Siyah,2026-04-14,2,,0,Osman,501,Onaylandı,Çizildi,Dışarıda Kesildi,Dikim'de,-,,-,-,,Hazırlandı,-,,-,-,,0,501,
3,THMSS26PT00040,1164695,Çok Renkli,2026-04-14,2,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
3,THMAW26GC00001,1166043,Siyah,2026-04-14,2,,0,,,Onaylandı,Çizildi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
3,THMSS24CC00025,1164264,Beyaz,2026-04-14,2,,0,Osman,303,Onaylandı,Çizildi,Dışarıda Kesildi,Dikim'de,-,,-,-,,Hazırlandı,-,,-,-,,0,303,
3,TBESS26EL00033,1163748,Siyah,2026-04-14,2,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
3,THMAW24CC00013,1161318,Kırmızı,2026-04-14,2,,0,Serdar,306,Onaylandı,Çizildi,Kesildi,Dikim'de,-,,-,-,,Hazırlandı,-,,-,-,,0,306,
4,TBBSS25AI00016,1165916,Siyah,2026-04-15,2,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
4,TBBSS25AI00016,1165904,Pembe,2026-04-15,2,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
4,TBESS26EL00033,1165126,Vizon,2026-04-15,2,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
4,THMAW26PT00065,1165092,Çok Renkli,2026-04-15,2,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
4,THMSS24PT00121,1165267,Mavi,2026-04-15,2,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
4,THMSS24PT00075,1165264,Beyaz,2026-04-15,2,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
5,TBBSS26AI00009,1166557,Çok Renkli,2026-04-16,3,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
5,TBBSS26AI00032,1166565,Lacivert,2026-04-16,3,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
5,THMSS26TU00001,1167233,Bordo,2026-04-16,3,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
5,THMSS26GC00017,1143450,Kahverengi,2026-04-16,3,,0,Vehbi,401,Onaylandı,Çizildi,Kesildi,Dikim'de,-,,-,-,,Hazırlandı,-,,-,-,,0,401,Fit 16.03 tarihinde gönderildi.
6,THMSS25CY00001,1166354,Beyaz,2026-04-17,3,,0,,,Onaylandı,Çizildi,Kesim Sırasında,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,Her şey hazır kesim bekliyor
6,THMSS25CY00001,1166358,Siyah,2026-04-17,3,,0,,,Onaylandı,Çizildi,Kesim Sırasında,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,Her şey hazır kesim bekliyor
6,THMSS24SU00016,1166362,Siyah-Beyaz,2026-04-17,3,,0,,,Onaylandı,Çizildi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
6,THMSS24CC00025,1166048,Siyah,2026-04-17,3,,0,Osman,989,Onaylandı,Çizildi,Dışarıda Kesildi,Dikim'de,-,,-,-,,Hazırlandı,-,,-,-,,0,989,
7,TBBSS25AI00111,1144786,Bordo,2026-04-18,3,,0,,,Onaylandı,Çizildi,Kesim Sırasında,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,Kumaş tedariği 13 martta gerçekleşti.
7,TBBSS25AI00009,1153760,Siyah,2026-04-18,3,,0,,,Onaylandı,Çizilmedi,Tedarik Sürecinde,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
7,TBBSS26AI00017,1168142,Beyaz-Çok Renkli,2026-04-18,3,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
7,TBBSS25AI00111,1143690,Siyah,2026-04-18,3,,0,Şenel,380,Onaylandı,Çizildi,Kesildi,Dikim'de,-,,-,-,,Hazırlandı,-,,-,-,,0,380,
7,TBBAW23AI00040,1168141,Siyah,2026-04-18,3,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
9,TBESS25PR00014,1135303,Çok Renkli,2026-04-20,3,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
9,TBESS25PR00008,1133956,Siyah,2026-04-20,3,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
9,TBESS25PR00014,1134774,Kahverengi-Çok Renkli,2026-04-20,3,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
9,TBESS26EL00054,1133449,Sarı,2026-04-20,3,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
9,TBESS26KM00004,1133628,Kahverengi,2026-04-20,3,,0,,,Onaylandı,Çizilmedi,Tedarik Sürecinde,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
9,THMSS26PT00231,1156078,Beyaz,2026-04-20,3,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
9,THMSS26PT00231,1156079,Siyah,2026-04-20,3,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
9,TBESS26AU00034,1133447,Sarı,2026-04-20,3,,0,,,Onaylandı,Çizilmedi,Kesim Sırasında,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
9,THMSS26GC00019,1155857,Siyah,2026-04-20,3,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
9,TBESS26EL00054,1133448,Fuşya,2026-04-20,3,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
10,THMSS26CC00014,1167235,Siyah,2026-04-21,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,Yuvarlak Demir Aksesuarı geldi
10,THMSS24GC00003,1168365,Beyaz,2026-04-21,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
10,THMSS24KU00037,1168345,Siyah,2026-04-21,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
10,THMSS22PT0269,1173696,Siyah,2026-04-21,4,,0,,,Onaylandı,Çizilmedi,,,-,,Yıldız Dantel,2026-04-03 00:00:00,,Hazırlanıyor,-,,-,-,,0,0,
10,THMSS26CC00015,1168368,Beyaz,2026-04-21,4,,0,,,Onaylandı,Çizilmedi,Tedarik Sürecinde,,-,,Yıldız Dantel,2026-04-03 00:00:00,,Hazırlanıyor,-,,Murat Askıcı,2026-04-02 00:00:00,,0,0,
10,THMSS26CC00015,1168368,Beyaz,2026-04-21,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
10,THMSS22GC0018,1168353,Lacivert,2026-04-21,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
11,THMSS24PT00026,1169672,Siyah,2026-04-22,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
11,THMAW25GC00004,1169671,Siyah,2026-04-22,4,,0,,,Onaylandı,Çizilmedi,,,-,,Yıldız Dantel,2026-04-03 00:00:00,,Hazırlanıyor,-,,-,-,,0,0,
13,TBBSS26AI00074,1152806,Beyaz-Mavi,2026-04-24,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
14,TBBAW23AI00032,1153759,Siyah,2026-04-25,4,,0,,,Onaylandı,Çizildi,Tedarik Sürecinde,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,Kumaş geldi diye pastal atılmış ama defolu çıktığı için iade edilmiş tekrar sipariş geçildi
14,THMSS26PT00233,1156135,Pembe,2026-04-25,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
14,TBBAW26AI00032,1153773,Siyah,2026-04-25,4,,0,Laperissa,400,Onaylandı,Çizildi,Kesildi,Dikim'de,-,,-,-,,Hazırlandı,Kardeşler Düğme,,-,-,,0,400,
16,TBBSS26AI00081,1158813,Koyu Vişne,2026-04-27,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
16,TBESS26EL00082,1164626,Çok Renkli,2026-04-27,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
16,TBESS26EL00082,1164627,Siyah-Çok Renkli,2026-04-27,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
16,THMSS26PT00229,1156817,Pembe,2026-04-27,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
16,THMSS26PT00222,1156096,Pembe,2026-04-27,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
16,THMSS26PT00227,1155856,Ekru,2026-04-27,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
17,TBESS26PR00011,1147973,Çok Renkli,2026-04-28,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
17,THMSS25SB00003,1160229,Bordo,2026-04-28,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
17,THMAW23SB00011,1168062,Koyu Kahverengi,2026-04-28,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
19,TBESS26AU00076,1164619,Siyah,2026-04-30,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
19,TBESS26EL00081,1164621,Çok Renkli,2026-04-30,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
23,THMSS26PT00245,1166393,Ekru,2026-05-04,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
23,THMSS25PT00404,1166086,Ekru,2026-05-04,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
23,THMSS26PT00146,1135911,Kırmızı,2026-05-04,4,,0,,,Onaylandı,Çizildi,Tedarik Sürecinde,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
26,TBESS26AU00077,1164709,Kahverengi,2026-05-07,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
30,THMSS25PT00404,1166052,Ekru,2026-05-11,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
37,THMSS25PT00404,1166001,Ekru,2026-05-18,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
